Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-08-22,Morbius,2022,https://boxd.it/39zV1P,0.5,,,2022-08-21
2022-08-30,Wonder Woman 1984,2020,https://boxd.it/3b69HX,1.5,,,2022-08-22
2022-09-11,Good Will Hunting,1997,https://boxd.it/3dhYvt,5,,,2022-09-10
2022-09-11,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/3dhYOl,1.5,,,2022-09-10
2022-09-12,A Quiet Place,2018,https://boxd.it/3dtxql,3,,,2022-09-11
2022-09-12,Whiplash,2014,https://boxd.it/3dtxD5,5,Yes,,2022-09-11
2022-09-26,Detective vs. Sleuths,2022,https://boxd.it/3g8XNb,2.5,,,2022-09-25
2022-09-26,Thunder,2022,https://boxd.it/3g8YRD,3,,,2022-09-25
2022-09-26,Living,2022,https://boxd.it/3gaqz5,3,,,2022-09-25
2022-09-26,Crimes of the Future,2022,https://boxd.it/3gctqT,4,,,2022-09-25
2022-09-28,99 Moons,2022,https://boxd.it/3gy3Dr,2,,,2022-09-27
2022-09-28,Return to Seoul,2022,https://boxd.it/3gzrlt,4,,,2022-09-27
2022-10-13,X2,2003,https://boxd.it/3jRv8L,2.5,Yes,,2022-10-09
2022-10-16,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/3koWHJ,3.5,,,2022-10-15
2022-10-17,Brooklyn,2015,https://boxd.it/3kCIQF,3,,,2022-10-16
2022-10-18,Triangle of Sadness,2022,https://boxd.it/3kQlBb,4,,,2022-10-17
2022-10-24,X-Men: The Last Stand,2006,https://boxd.it/3m5ejX,2,Yes,,2022-10-23
2022-10-26,The Woman King,2022,https://boxd.it/3mu81N,4.5,,,2022-10-25
2022-10-30,Rocky,1976,https://boxd.it/3njxQ9,4.5,Yes,,2022-10-29
2022-10-31,X-Men Origins: Wolverine,2009,https://boxd.it/3nzqWV,3,,,2022-10-30
2022-11-04,Her,2013,https://boxd.it/3otjZP,4.5,,,2022-11-03
2022-11-06,Enola Holmes 2,2022,https://boxd.it/3oSWHl,2.5,,,2022-11-05
2022-11-06,Pitch Perfect,2012,https://boxd.it/3oVqdT,2.5,,,2022-11-05
2022-11-07,See How They Run,2022,https://boxd.it/3pa765,2,,,2022-11-06
2022-11-08,All Quiet on the Western Front,2022,https://boxd.it/3pnDfz,3.5,,,2022-11-07
2022-11-20,Spotlight,2015,https://boxd.it/3rQCSV,4.5,,,2022-11-19
2022-11-27,American Psycho,2000,https://boxd.it/3thTLb,2.5,,,2022-11-26
2022-12-04,Back to the Future,1985,https://boxd.it/3uH9BP,5,Yes,,2022-12-03
