Date,Name,Year,Letterboxd URI,Rating
2021-12-19,The King,2019,https://boxd.it/ieZs,3.5
2021-12-20,Ocean's Eight,2018,https://boxd.it/eaai,2
2021-12-22,Seven Psychopaths,2012,https://boxd.it/34PW,2
2021-12-23,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2021-12-23,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3
2021-12-23,The Avengers,2012,https://boxd.it/1xFW,3
2021-12-23,Black Panther,2018,https://boxd.it/8MHs,3.5
2021-12-23,Black Widow,2021,https://boxd.it/hWV8,3.5
2021-12-23,The Incredible Hulk,2008,https://boxd.it/28dU,1.5
2021-12-23,Iron Man,2008,https://boxd.it/28dA,3.5
2021-12-23,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2021-12-23,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3
2021-12-23,Captain America: Civil War,2016,https://boxd.it/89Ja,3
2021-12-23,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,2.5
2021-12-23,Percy Jackson & the Olympians: The Lightning Thief,2010,https://boxd.it/1gJi,3
2021-12-23,Rocky V,1990,https://boxd.it/28SS,3
2021-12-23,Ted,2012,https://boxd.it/2pgc,2.5
2021-12-23,Edge of Tomorrow,2014,https://boxd.it/4pD0,3.5
2021-12-23,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,1
2021-12-27,Encanto,2021,https://boxd.it/kPRu,3
2021-12-28,Spider-Man 2,2004,https://boxd.it/2a88,4
2022-01-01,Footloose,2011,https://boxd.it/2cnk,2
2022-01-01,Grease,1978,https://boxd.it/29YW,2.5
2022-01-04,Spider-Man 3,2007,https://boxd.it/2a7Y,3.5
2022-01-09,Clueless,1995,https://boxd.it/1Ygk,3
2022-01-10,The Matrix Reloaded,2003,https://boxd.it/2a1c,4
2022-01-10,Midsommar,2019,https://boxd.it/jhxe,4.5
2022-01-12,The Matrix Revolutions,2003,https://boxd.it/2a12,3.5
2022-01-14,Wild,2014,https://boxd.it/6KQo,3
2022-01-15,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4.5
2022-01-16,John Wick,2014,https://boxd.it/7dEc,4
